metric,fc,cf,cf_over_fc
avg_step_s,4.6491056449958705,9.30212121999648,2.000841006916878
avg_sampling_s,0.023418110999045894,3.47207467899716,148.26450686558877
avg_transport_s,4.624083850001625,5.815549038001336,1.2576651346837693
avg_post_s,0.0015241930013871752,0.014451123999606352,9.481164121902093
events_total,4921,6155388,1250.8408859987808
events_per_particle,1.218370883882149,1530.429636996519,1256.127881290173
fc_scatter_events,4807,,
cf_absorb_continue_events,,6150915,
cf_absorb_capture_events,,0,
cf_event_cap_hits,,3051,
