/Users/ryanmcclarren/Dropbox/Papers/RadTranBook/MG_IMC/MG_IMC2D.py:1373: RuntimeWarning: overflow encountered in power
  emission_by_group = sigma_a_true * b_star * __a * __c * temperature[None, :, :]**4 * dt * volumes[None, :, :]
/Users/ryanmcclarren/Dropbox/Papers/RadTranBook/MG_IMC/MG_IMC2D.py:1373: RuntimeWarning: invalid value encountered in multiply
  emission_by_group = sigma_a_true * b_star * __a * __c * temperature[None, :, :]**4 * dt * volumes[None, :, :]
================================================================================
MARSHAK WAVE - MULTIGROUP IMC (All Groups Same Opacity)
================================================================================

Particle counts:
  Ntarget (material emission): 100000
  Nboundary (boundary source): 100000
  Nmax (census limit): 400000

Spatial discretization:
  Domain: [0, 0.2] cm
  Cells: 50 × 1
  Cell width: 0.004000 cm

Material properties:
  e(T) = 0.3 * T  (GJ/(g·keV))
  c_v = 0.3 GJ/(g·keV)
  ρ = 1.0 g/cm³

Energy groups: 5
  Group 0: [0.1, 0.5] keV
  Group 1: [0.5, 1.0] keV
  Group 2: [1.0, 2.0] keV
  Group 3: [2.0, 5.0] keV
  Group 4: [5.0, 10.0] keV

Opacity model:
  σ_g(T) = 300*T^(-3) for ALL groups (identical)
  σ(T=1.0 keV) = 300.00 cm⁻¹

Boundary conditions:
  Left (x=0): T = 1.0 keV (vacuum)
  Right (x=0.2): Reflecting
  Top/Bottom: Reflecting (1D)

Initial conditions:
  T_init = 0.01 keV (cold material)

Time stepping:
  dt = 0.01 ns
  Final time: 10.0 ns
  Output times: [1.0, 5.0, 10.0] ns

Self-similar solution:
  σ_0 = σ(T=1.0) = 300.00 cm⁻¹
  K = 1.741061e-03 cm²/ns
  ξ_max = 1.11305
  ω = 0.05989

================================================================================
Running Multigroup IMC Simulation
================================================================================

Total steps: 1000
Output frequency: every 10 steps

Time	N	Total Energy	Total Internal Energy	Total Radiation Energy	Boundary Emission	Lost Energy
===============================================================================================================
0.000000	100000	0.000600	0.000600	0.000000	0.000000	0.000000
[MG_IMC2D] Using 8 threads for transport
0.100000	54	0.117486	-1.580850	1.698336	0.001028	1.591191
0.200000	54	2117475276800.000000	-8073999154814221312.000000	8074001272289498112.000000	0.001028	7517056810598603776.000000
0.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
0.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
0.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
0.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
0.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
0.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
0.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
1.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.100000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
2.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
